,R2_Score
654926,-0.3421404236224461
688213,-0.24367205744883647
688293,-0.06097157638613249
688395,0.5982955468847568
688427,-0.13870708957353828
688624,0.5533493864851877
688660,-0.018208660010528455
688781,0.5381833805692973
764847,0.0014814568408593187
809114,-0.19880166454506631
809115,-0.04974587763567451
809116,-0.2326227064874793
809117,-0.1453618452142944
809118,-0.13995671495058826
809119,-0.08765942726637421
809120,-0.08177119877923711
809121,-0.02502661036921716
809122,-0.31734262481754616
809125,-0.06335984169518194
809128,-0.10246150838176749
809129,-0.19668604276008184
809130,-0.34747858843906965
809131,-0.05926462336347016
809132,0.21393490317895825
809133,0.004182664234712696
809134,-0.9976012923706548
809135,0.08291006729897887
809136,-0.5247567578387797
809138,-0.0834662470252372
809139,-0.16253874941126
809140,-0.04238834889695964
809141,0.013346142302462782
809142,-0.5112317134333577
809143,-0.3904391116961523
809144,-0.18301466465723348
809145,0.0015110668800248916
809146,-0.17491703309814355
809147,-0.327028719857273
809149,-0.02972739564961402
809150,-1.0435489117832817
809151,-0.0432129413835991
809152,0.006861949082740071
809153,0.08448925516235661
809154,-0.24442301680697276
809155,-0.3350801305488802
809156,-0.020762054944908792
809158,-0.06754556955595481
809160,-0.2081458840501922
809162,-0.1442730405398085
809163,-0.22579488966144878
809165,-0.06459755262663092
809166,-0.2184329348026135
809167,0.008065320311188784
809168,-0.1634269399465813
809169,-0.3316080824827712
809170,0.12908914065471688
809171,-0.07488499683568883
809172,-0.06312820775267025
809173,-0.5554879635692525
809174,0.027412482196146448
809175,0.058023842196801345
809177,-1.3262290112128223
809179,-0.20752925485655793
809181,-0.1335337120077036
809182,-0.17301348344291467
809183,-0.16675889426041657
809184,-0.3702849062837459
809185,-0.26841735050794435
809186,-0.051470581729125664
809187,-0.4517401427412151
809188,-0.17874342120478048
809189,-0.47867716743038047
809190,0.021979348846899338
809191,-0.11118109011330057
809192,-0.1927837486995343
809193,0.10344996602299439
809194,-0.7949416219774619
809195,-0.5429922901267521
809196,-0.08961471614067351
809197,-0.18045601727948646
809198,-0.11174161617791367
809199,-0.13905725419560433
809200,0.11400423453125053
809201,-0.3355701039215222
809202,-0.35164369538965934
809204,-0.080051369698253
809205,-0.2092507918811639
809206,0.10542430635090483
809207,-0.37879272907774775
809208,0.051991904307661985
809209,-0.408974428971296
809211,-0.4047544739284683
809212,-0.1451588859082653
809213,-0.095918211292229
809214,-0.2573053174153528
809215,-0.22781773062447663
809216,-0.08867193100065474
809218,-0.49273544928074875
809219,-0.10340853614852508
809220,-0.20638997552376992
809221,-0.09091455185754094
809223,-0.10719139774763331
809224,-0.30854258792896494
809225,-0.008658161113046292
809226,0.016496518219491496
809227,-0.32929788836237606
809228,-0.5738848108270664
809230,-0.10919635431936969
809231,-0.2622631063641774
809233,-0.03865238907703583
809234,-0.1668845901259246
809235,-0.05009455713249156
809236,-0.34224020109396647
809237,-0.08389352800052952
809238,-0.0317961203612378
809239,-0.08313500436335652
809240,-0.19995356425455868
809241,0.004503165796490904
809242,-1.5086762433250587
809243,-0.2520037311619956
809244,-0.2846248882077609
809246,-3.206756523614615
809247,-0.05871937959568507
809248,-0.02642676015186063
809249,-0.09071594476793887
809250,-0.17097133069191695
809251,-0.37807177390221747
809252,-0.20816555331148656
809253,-0.02591690914175393
809254,-0.06143180921123159
809255,-0.020654669595020048
809256,-0.10176551981373061
809257,-0.25990003608811585
809258,-0.02634750267217001
809259,-0.016332697703277388
809260,-0.08265097432305835
809262,-0.0320134081899639
809263,-0.05376501910990239
809264,-0.2425203368086819
809265,-0.15721336660044583
809266,-0.3918654654778069
809267,-0.10536818608234966
809268,-0.09661397413849904
809269,-0.6338686343591728
809271,-0.12627915807664447
809272,-0.0575476303696274
809273,-0.20591718504709378
809274,-0.05356580415720247
809275,-0.0528571087999401
809276,-0.19937409022633723
809277,-0.05534174170031325
809278,-0.02343167278282654
809279,0.037193304653715065
809280,-1.0784612214079328
809281,-0.5906909898296682
809282,0.04391957450532802
809283,0.12507201815469748
809284,-0.22799672373367796
809285,-0.08007331407832963
